tweet,y
"[ 0.26283595 -0.60228455 -0.00933404  0.47164103 -0.18773113  0.07892839
  0.21464323  0.56394184 -0.97319233 -0.7448896   0.62331617  0.21179631
  0.3312352  -0.27772984 -0.0157335   0.41931307 -0.25742462 -0.3946446
  0.00758468  0.12536117  0.24780498 -0.12387206 -0.15113933 -0.25255072
  0.07608927  0.11139768 -0.21757004  0.4529711  -0.39063913 -0.22787267
  0.24869974 -0.42198652 -0.06127143  0.36378586 -0.5623011   0.27664256
 -0.14040294  0.0942219  -0.40296146 -0.14645818  0.06070123  0.09930073
 -0.13822006  0.26258925  0.35039702  0.4533657  -0.3389658   0.79326236
  0.5861279   0.25626826]",1
"[-0.07637039  0.2138035  -0.270198    0.73320484  0.33714744 -0.3531607
 -0.48169273 -0.30392104 -0.69172126 -0.27952904 -0.23433593  0.02127173
 -1.2899352  -0.2427418  -0.47721484  0.37367433  0.10047073 -0.5981109
 -0.76244414 -1.1107378   0.78444374  0.5296734   0.7570342  -0.4459229
 -0.14526153  0.04139483  0.532847   -1.1926615  -0.46300057  0.4863161
  0.34939814  0.17503826 -0.10207476  1.233155   -0.18890652  0.98359
 -0.38631278 -0.34606978 -0.4561677   0.29864112 -0.3101152  -0.3737114
 -0.9284842  -0.51022476  0.39632887  0.22311813  0.909914   -0.77969545
 -0.1153055  -0.00294047]",0
"[-0.06356447 -0.28105763 -0.30422002 -0.02506996 -0.12643841 -0.28601116
  0.3818978   0.91857857 -0.512269   -0.2340874  -0.28265077  0.24570481
  1.1135359   0.78828967  0.12564309 -0.09043606  0.20421405 -0.6777588
 -0.2925647   0.18440904  0.8080446  -0.15214477  0.23532188 -0.46002266
  0.0350636   0.15714587 -0.07405238  0.6729871  -0.2287781   0.23197313
  0.14832945  0.38713315 -0.03053968  0.86064506 -0.01617544  0.42440432
 -0.2858027  -0.06194261  0.41665384 -0.15703206  0.14989674  0.10310573
 -0.20345734 -0.10251183  0.514051    0.07190347 -0.48640555  0.39321592
  0.75145984  0.2479673 ]",0
"[ 0.2613258   0.13177536  1.022107    0.65850616 -0.37009808 -0.9186238
  0.48803994  0.98303646 -0.70383805 -0.60328877 -0.16912834 -0.4354658
  0.05212253  0.12899126 -0.304503   -0.16021025 -0.36950022 -0.77320826
 -0.46928427  0.01801153 -0.12643756  0.3564297  -0.05238464 -0.72597164
  0.32715294  1.3490193  -0.3839584  -0.1997647  -0.31701827 -0.39189386
 -0.2870049  -0.25506344  0.9909461   0.7390342  -0.12516178  0.7721056
 -0.34509382 -0.35796782  0.09526171  0.17092805 -0.16370668  0.37184033
 -0.05773531  0.3212746   0.20652378 -0.5965882  -0.34778082  0.2111915
 -0.5845734   0.31939763]",0
"[ 0.05009418  0.00606308 -0.19412799  0.07592858 -0.08033303 -0.2313461
  0.5325935   0.5431372  -0.3691315  -0.35959393 -0.08495997 -0.02665558
 -0.06353202 -0.26773092 -0.16279617  0.25695258  0.35043943  0.0272554
  0.01133617 -0.2901069   0.422992    0.14770745  0.32915372 -0.03932548
  0.2703503   0.19398521 -0.25800818 -0.1179615  -0.3957691  -0.21847834
 -0.13680385  0.0782128   0.25510976  0.20506003  0.00076175  0.05341961
 -0.13270144  0.09272436  0.10836045  0.01776337 -0.14532164 -0.02583902
 -0.06426089 -0.08274794  0.33389664  0.18584505 -0.0174541   0.05428462
 -0.11208075  0.3724004 ]",0
"[ 0.22780593 -0.05738572  0.24295028  0.29042086 -0.5378471  -0.54248106
  0.6022208   0.7681137  -0.4830769   0.42917055  0.02676652 -0.31544834
 -0.15781641  0.20709784 -0.30113992  0.06612431  0.447833    0.23829493
 -0.55927396 -0.48178256  0.5621827   0.38336244  0.5512065  -0.2954923
 -0.10518158  0.20651132 -0.16840313  0.15160915 -0.4819493  -0.00178122
 -0.2350406   0.3885698  -0.32999226  0.68793666 -0.0080333   0.79664046
 -0.01401685  0.56579345 -0.08381893 -0.57319516  0.22157368 -0.1493919
 -0.20583555  0.14698015  0.39104787  0.12752366 -0.02780668 -0.40070325
  0.04539051  0.26790628]",0
"[ 0.12466621 -0.2519528   0.02039393 -0.13570957 -0.97440124  0.300809
  0.34726912  0.83088034 -1.1940643  -0.19917959  0.19401209 -0.15635316
  0.23048615  0.19630004  0.10618303  0.4051139   0.23408408  0.00733488
 -0.40376905 -0.72380954  0.04300844 -0.12656562  0.03624728 -0.32085177
  0.4434305  -0.0997692  -0.16839495  0.61431086 -0.52329814  0.10312403
 -0.38022596  0.5141726   0.24016182  0.41112107 -0.4107133   0.6193209
  0.05818548  0.24209732 -0.39462703  0.22125012  0.4137291  -0.07342013
 -0.19436593  0.04667054  0.4266736  -0.6080455  -0.09883025  0.42249966
  0.35057     0.00495917]",0
"[-0.4227563  -0.02789383 -0.80394685 -0.5465071   0.69362247 -0.9427575
  0.56818014  0.7301246  -0.54169196  0.20242342 -0.60733664 -0.1642598
  0.9878636   0.46292156  0.0163306   0.48187268  0.51287055 -0.9081598
 -0.5952203  -0.31155032  0.43619174  0.40619987  0.28558102  0.28973627
 -0.03334612  0.35380328  0.27610937 -0.24049538 -0.53228164 -0.690774
  0.22178257  0.8174635  -0.4976475   0.9021016  -0.08820517  0.33929157
  0.7624253  -0.30964544  0.37228003  0.04379683 -0.07904928 -0.21455298
  0.3935978  -0.82805777  0.48840043  0.3869605   0.30842948 -0.01684369
  0.44849792  0.61385196]",0
"[-0.16880892  0.05409411 -0.06639751 -0.14188448 -0.3742876   0.11403879
  0.5880909   0.7808825  -0.67332107  0.0219996  -0.6642399   0.29527435
  0.5604184  -0.03326218 -0.21539873  0.08109247  0.1351129  -0.01829593
 -0.30045897 -0.03892352  0.33446568 -0.06690336  0.13151488 -0.44057214
 -0.01474113  0.22281472 -0.22106913  0.11415561 -0.00731143 -0.24430762
 -0.19763991  0.0589432   0.2097267   0.21401122  0.03857199  0.2829529
 -0.22433385 -0.29268494  0.4478518  -0.03140131 -0.16232082  0.25173843
 -0.44138554 -0.03073035  0.41346675  0.09859195 -0.07932124 -0.15968455
  0.10726767  0.05667322]",0
"[ 0.18389456  0.5960411   0.0552881   0.01116724  0.34787917 -0.25868204
  0.6825078   1.1345242  -0.39001378  0.30241036 -0.30536732 -0.08811409
  0.18004546 -0.23263085 -0.52354884  0.58407646  0.8927469  -0.01394069
 -0.22783352  0.26664466  0.5026517  -0.47228867  0.90025    -0.04092211
  0.5774792   0.20222771  0.46381623 -0.1871644   0.27016243 -0.11639176
  0.80871195  0.31240147 -0.19464138 -0.19171219 -0.02636787  0.48946276
 -0.06177562  0.30803713  0.2713056  -0.32177132  0.35422656  0.3717104
  0.0059195   0.25962427  0.9797633  -0.11989614  0.2857622  -0.5698101
 -0.08179761  1.1656014 ]",0
"[-0.30733424 -0.73281485  0.65900534  0.00728069  0.03641572 -0.10810556
 -0.03472416  0.2698213   0.45095083  0.3555464  -0.60516626 -0.18539977
  0.14967132  0.85648274 -0.5292279   0.23720796 -0.15626697  0.3842086
  0.1227405  -0.21029432  0.9984732  -0.2550189   0.85563606  0.13041076
  0.5879397   0.580481    0.25936094 -0.2365539  -0.43962514 -0.09734199
  0.6681958  -0.09297708  0.04495836 -0.05327867  0.21113408  0.25339422
  0.24324171  0.41321403 -0.19319709 -0.11567195  0.21985818 -0.41612586
 -0.5686012   0.14406632 -0.145856   -0.23202986  0.3379457  -0.44150394
 -0.10733658  1.2577736 ]",0
"[ 0.05569348 -0.09566292 -0.17824048  0.15749201 -0.5688477  -0.1364449
 -0.10862061  0.06388812  0.15739988 -0.46748102  0.18714622 -0.24791528
 -0.7532224   0.5968027   0.12647057  0.5257006  -0.2661157  -0.20505336
 -0.0399324  -0.29260808  0.07746831  0.10154404  0.06926879  0.25286487
  0.19209646  0.06467723  0.5031772  -0.03474981  0.07024539  0.1677509
 -0.43700367 -0.39358187  0.6642584  -0.47542804  0.31041214  0.5474082
 -0.00477913  0.03442848 -0.25892296  0.25552562  0.11984201 -0.25401095
 -0.23195538  0.3468544   0.6166939   0.07373551  0.30811426  0.27160236
  0.10605844 -0.04768664]",0
"[ 0.00441317  0.07060187  0.03994339  0.20600857  0.19321963 -0.1930109
 -0.10828933 -0.05371585  0.09509908 -0.22339918  0.01681869 -0.02801427
 -0.2488834  -0.16829352  0.07313669  0.12708072  0.00972749 -0.18368067
 -0.03253316 -0.11676873 -0.04068623 -0.03271282  0.04369361 -0.04151258
 -0.01815231  0.10657009 -0.00075889 -0.16053754 -0.07207347  0.00235247
  0.03147089 -0.08214416  0.04877257 -0.04980179 -0.05605751  0.0302212
 -0.04185574  0.07673169 -0.13975492 -0.3171188   0.01708908  0.09546114
 -0.00410234  0.13063116  0.06863124  0.02490304  0.11274571  0.09210525
 -0.12403793  0.17057781]",0
"[-0.11437686  0.0052164  -0.02453704  0.11019138 -0.24310155 -0.1891264
  0.09552686  0.25560847 -0.21185534 -0.12316459  0.04393385 -0.11212274
  0.03121545  0.09445137  0.1135206   0.11129393  0.11419606 -0.0663255
 -0.16813216 -0.23870145  0.21310341  0.19656697  0.22123702  0.03469712
  0.0396416   0.10573809  0.13727406  0.03939133 -0.12174359 -0.01058667
 -0.08753131  0.06812924 -0.01522607 -0.00091771 -0.01052226  0.2995731
  0.05911541  0.04446622 -0.08893747 -0.03475863  0.2990238  -0.15199952
 -0.04906638 -0.18748347  0.44791234  0.03419858 -0.04991028 -0.09566843
 -0.01276863  0.06368145]",0
"[ 0.23853192  0.58764166  0.06379525  0.02944347  0.37646982 -0.28451973
  0.7236908   1.1683824  -0.3384481   0.2125885  -0.26440418 -0.0885799
  0.13478847 -0.32256198 -0.6174828   0.58575803  1.0132893   0.06774201
 -0.18534428  0.20701315  0.5386255  -0.41631064  0.96282095 -0.01462727
  0.6403109   0.21001482  0.3627271  -0.10003992  0.17148367 -0.10616988
  0.8736995   0.31523842 -0.12646523 -0.15068659 -0.17679238  0.44433513
 -0.01334195  0.1604922   0.30511564 -0.21415111  0.46014243  0.34337366
  0.10597496  0.22316445  0.88982815 -0.01372655  0.25437713 -0.5539208
 -0.08100253  1.1976286 ]",0
"[-5.0907354e-03 -1.7232066e-03  4.9752677e-03  5.0703046e-04
 -5.4324032e-03  5.1721372e-03 -6.3076532e-03 -5.7618027e-03
 -7.2653531e-03  9.4017517e-03 -9.2197536e-03 -3.8285560e-03
  7.7293287e-03  6.9741486e-03 -9.2806807e-03 -6.3384045e-03
  1.8103230e-03  9.2289373e-03  3.8524030e-04 -9.3874000e-03
  8.3673117e-04  6.2018358e-03  6.4787862e-05 -6.7217154e-03
 -2.4326998e-03 -9.2985937e-03  2.0144808e-03 -6.3698511e-03
  4.2800643e-03 -6.5676868e-03  4.1717575e-03  6.8979301e-03
  5.9669591e-03 -2.0397180e-03  4.9816216e-03  9.6414209e-04
  8.6718854e-03 -4.4496492e-03  8.1820486e-05  1.4077461e-03
 -4.9257088e-03  7.3022461e-03  7.1174693e-03  5.6168437e-03
 -8.4794750e-03 -1.5919768e-03 -1.6857057e-03  1.0706175e-03
  3.8005377e-03  1.6230202e-03]",0
"[-0.120495    0.06999112 -0.05161317  0.00452022 -0.43628785 -0.18653572
  0.21165073  0.37580726 -0.36608288 -0.20682901  0.05861926 -0.00742364
  0.08625223  0.1771351   0.23240504  0.14265999  0.33025438 -0.09774641
 -0.30529252 -0.25556996  0.3595933   0.18584983  0.39954254  0.11037993
 -0.00873087  0.0285313   0.00802823  0.04539961 -0.18258771  0.00601718
 -0.14755647  0.02644323 -0.04700102 -0.24745461 -0.03709458  0.42479563
 -0.06234355 -0.00216683 -0.1614284   0.03496803  0.32808328 -0.1217433
  0.10553531 -0.3597842   0.64481264 -0.00687047 -0.03376136 -0.23636441
 -0.00320317  0.06062186]",1
"[ 0.19790782  0.39589837  0.04162492  0.5164057   0.07925922 -0.8691891
  0.6843401   0.18804915 -0.6832205   0.08992522 -0.12791629  0.1392761
 -0.12930478 -0.08305038  0.51479745  0.03016238  0.01677729  0.0257283
  0.00884314 -1.0534705   0.2715794   0.44821957  0.18658791 -0.7381364
 -0.2161308   0.08819699  0.10041212 -0.07289351 -0.00312626 -0.22932626
  0.20195647 -0.57959443  0.09217006  0.42642137 -0.5330831   0.8314589
  0.24532695  0.00353719  0.07434172 -0.24320321  0.45140225 -0.27755666
  0.08253215  0.5151072  -0.42577872  1.0998795   0.04976927 -0.02666459
 -0.58766454  0.7544998 ]",0
"[-0.00952235  0.504439   -0.1901284  -0.15456073 -0.19094843 -0.5635556
  0.6187389   0.7385967  -0.3177593   0.524241   -0.64534384 -0.6595052
 -0.20480727  0.14446415  0.35743132 -0.2758069   0.3850109   0.56761223
 -0.23009162 -0.5229189   1.0098336  -0.04143264  0.6321253   0.37879735
 -0.16612615  0.17929058 -0.29960537 -0.26843178  0.38234702 -0.00772147
  0.36365077 -0.39795247  0.04055175  0.5728755   0.46365276 -0.21588348
  0.08009256  0.9002208   0.24538736  0.14770693  0.5183397  -0.15252222
 -0.11810941 -0.0724571   0.0434779   0.10374424  0.5445089  -0.1521602
  0.1939308   0.08445423]",0
"[ 0.0058438  -0.22351359 -0.24538976  0.07912699 -0.15372488  0.37231946
  0.04764779  0.27641058 -0.06316339  0.28671613 -0.50441474  0.7396249
  0.5504553   0.24169461 -0.7772987   0.03962352  0.4580122   0.45170328
 -0.8092049  -0.19185393  0.82680404  0.12264876  0.8201607   0.42205274
 -0.7717541  -0.88574773 -0.12762879 -0.4289326  -0.01067052  0.35381943
 -0.40137357  0.21784429 -0.3577715   0.14851856  0.47237223 -0.28185514
  0.26999804 -0.61494344  0.14658996 -0.188535    0.21299651  0.2918304
  0.2844886  -0.67431074  0.32636082  0.45608437 -0.26691663 -0.38354212
  0.7580154  -0.24215096]",0
"[-0.16552997  0.4496385   0.52790976  0.18966635 -0.46727884 -0.2421033
  0.0601974   0.6166239  -1.1176814   0.46648565 -0.9377186  -0.737408
 -0.03676085  0.04428878 -0.6707721   0.0767915   0.7606142   0.26604068
 -0.25879845 -0.51719785  0.05655214  0.05652383  0.7930541   0.7211736
 -0.46735528  0.10327693  0.09871643 -0.53920424 -0.09327399 -0.26979253
  0.51727533  0.0026298  -0.31828725  0.415034    0.24731535  0.30723405
  0.21528924  0.25687474 -0.7789124   0.9396307  -0.05291669 -0.15863124
  0.398272   -0.15367396  0.3265922  -0.35992086  0.17494899 -0.05491152
  0.37824178 -0.03555008]",0
"[-0.35172948  0.5488186   0.08222388 -0.01191046 -0.11617561 -0.00824583
  0.49838185  0.44416538 -0.13386318  0.2591486  -1.1957282  -0.42710036
 -0.20426892 -0.27871308  0.15196465  0.2177614   0.53619665  0.26743156
 -0.45365408  0.08962944  0.2607717   0.43622825  0.66120595 -0.00893087
  0.34459594 -0.61337507 -0.21697077 -0.0866088   0.1384384  -0.5236095
 -0.45258933  0.50260967 -0.07380598 -0.2169088   0.031262    0.67197937
 -0.06318053  0.02620443 -0.00274292  0.23473546  0.16169083 -0.3729458
 -0.0578307  -0.25943327  0.21643656 -0.1144786   0.06721006 -0.32762194
  0.13791567  0.34036705]",0
"[ 1.11766234e-01  9.20302942e-02  3.49472165e-01 -1.95641853e-02
 -4.47766036e-02 -2.91721135e-01  2.42218807e-01  2.92787820e-01
 -4.64435995e-01 -1.93359882e-01 -1.88853577e-01 -1.62492141e-01
  4.47281031e-03 -2.29290605e-01 -3.20186913e-02  3.90690491e-02
  3.46137226e-01  1.12707965e-01 -5.08469224e-01 -2.87274837e-01
  3.13570781e-04  1.68795526e-01  4.32925433e-01 -2.67672271e-01
  2.34542936e-02 -1.41906559e-01 -7.71189108e-02 -1.92780167e-01
 -4.66982760e-02 -4.11906838e-02  2.12615039e-02  2.95535803e-01
 -1.87072828e-01  4.19073582e-01  2.05236882e-01  1.42284274e-01
 -3.82627733e-02 -1.17519222e-01 -4.09527302e-01 -1.85862303e-01
 -6.26718551e-02  2.06095185e-02 -3.04586291e-01 -4.69806045e-01
  8.40854570e-02 -1.73667550e-01  1.01211742e-01  7.74402311e-03
  2.78460868e-02  4.21028107e-01]",0
"[-2.14605480e-01 -5.44611275e-01 -4.95174259e-01  2.75514662e-01
 -5.13726175e-01 -2.74382770e-01  3.18020917e-02  2.62670040e-01
 -6.87161386e-01 -2.05394164e-01  5.54252416e-02  8.79518986e-02
 -6.50956929e-02  9.31794848e-03  2.66385963e-03  3.89978468e-01
 -4.21032635e-03 -4.70826775e-01 -5.06343484e-01 -9.44714308e-01
  3.19649756e-01  7.00687841e-02  5.27770162e-01  3.56247276e-01
 -4.67285998e-02 -4.03998382e-02  1.24196649e-01 -5.47806978e-01
 -2.44144440e-01  7.25123158e-04  1.53523803e-01 -6.06951639e-02
  2.78688073e-01 -1.63168721e-02 -2.12863162e-01  7.92136788e-01
  5.01451977e-02  1.45390932e-03 -1.06863394e-01 -6.68306723e-02
  8.14412057e-01 -2.39778385e-01 -7.08158389e-02 -1.91053495e-01
  7.34938979e-01  2.97746480e-01  1.09559000e-02  1.40717356e-02
  3.36318351e-02 -8.56434181e-02]",0
"[-3.69708478e-01  4.19696659e-01  5.84727824e-01  1.58878818e-01
  4.72049922e-01  1.11209370e-01  3.22195776e-02  1.05633450e+00
 -2.08849013e-01  1.42058060e-01 -4.04623479e-01 -1.89878434e-01
 -1.40612915e-01 -3.75950605e-01 -3.67208362e-01 -3.07170659e-01
  9.48835611e-02  2.84485221e-01 -4.09442186e-01 -2.60968447e-01
  5.04493481e-04  4.05948043e-01  8.57286751e-01  2.47099161e+00
 -5.91010511e-01 -5.56725204e-01  1.23415507e-01 -2.74088353e-01
 -1.03591375e-01 -1.10226937e-01 -1.74071968e-01  1.24021041e+00
 -2.84133345e-01 -5.96390605e-01 -4.76929061e-02  1.38178110e-01
  7.35309184e-01  1.44596165e-02  5.99373043e-01  2.75160760e-01
 -3.12308758e-01 -2.32412517e-01  4.83275712e-01 -7.64503181e-01
  2.92292237e-01  9.89785939e-02 -2.66241968e-01 -6.38831496e-01
  9.04025733e-01  2.42818996e-01]",0
"[-0.34233183 -0.5137732   0.02340058  0.23238192 -0.01809464  0.12532921
  0.4362288   0.15771075 -0.41731572 -0.26671714  0.05223336  0.16411757
  0.4053885  -0.3132976   0.12631679 -0.02840259 -0.14215486 -0.20987546
 -0.39323503 -0.25985634  0.34378627  0.34191465  0.6300998   0.5919506
  0.22635143  0.26143667 -0.04360143  0.09999088 -0.29635838 -0.03674031
  0.47584015  0.20038903 -0.413567    0.08876185 -0.02239848  0.2588762
  0.48026758 -0.41423315 -0.2019088  -0.38373682 -0.5381797  -0.2371205
  0.06134751 -0.35828266 -0.7208747   0.42919162 -0.30479023  0.13243951
  0.03780956  0.42597413]",0
"[ 0.03370908  0.17861749  0.06580738 -0.22758268 -0.28082457  0.22872196
  0.2851598   0.45682663 -0.16817869  0.13420708 -0.56779575  0.05385532
  0.08497195  0.05447457  0.07580739  0.34077352  0.02726507 -0.14735584
 -0.1962873   0.0464612  -0.04214804 -0.16203038  0.21097474 -0.02265627
  0.19949     0.02068657  0.08220095 -0.17499565 -0.111111   -0.11883293
 -0.01790231 -0.03950793  0.15807915 -0.01968864 -0.25204164  0.18785
  0.03443551 -0.11282943  0.14674072 -0.14570664 -0.10397524  0.18313248
 -0.17153111 -0.12073816  0.3146641   0.22754179 -0.21698098 -0.2690261
 -0.05465817 -0.00132711]",0
"[-0.5037233  -0.5965848  -0.10368759 -0.8371735  -0.62338465  0.45484138
  0.17663938  0.8429429  -0.38009107  0.21184503 -1.1125803  -0.314103
  0.1828559   0.56146157 -0.5100864   0.5642099   0.22922105 -0.06386921
 -1.0909593  -0.11522657  0.40635243  0.36383626  0.5136921  -0.04669637
 -0.35383365  0.07782315 -0.8045051   0.00341341 -0.6593521  -0.04116309
 -0.36395672  0.3744804  -0.27097145  0.20297454  0.07175588  0.15318842
  0.71158737  0.20785712 -0.26370513 -0.28392798 -0.5911413  -0.6142646
 -0.31387368 -0.1997994   0.3192673  -0.35882363  0.3502377   0.21175492
  0.4586482  -0.1482228 ]",0
